"","DBA","full.address","longtitude","latitude"
"66","EL CONQUISTADOR RESTAURANT","broadway 6304 , NY, US",-73.8980131,40.8898085
"67","NUEVA AMBATENITA LA ESQUINA DEL SABOR","108 street 3924 , NY, US",-73.8590417,40.7507633
"68","ZAYTOONS RESTAURANT","smith street 283 , NY, US",-73.9932709,40.6823049
"69","JOSEPH'S RISTORANTE","hanover square 3 , NY, US",-74.0096249,40.7049985
"70","PRESS DINING & BEER ROOM","atlantic avenue 620 , NY, US",-73.9752822,40.6826571
"71","DOMINO'S","1st ave 943 , NY, US",-73.9655091,40.7551102
"72","SPAIN RESTAURANT & BAR","west   13 street 113 , NY, US",-73.9979214,40.7371344
"73","DELTA SKY CLUB","jfk int airport 52 , NY, US",-73.7781391,40.6413111
"74","EL PATRON MEXICAN GRILL","northern boulevard 19401 , NY, US",-73.7875286,40.758142
"75","DUNKIN' DONUTS","arthur kill road 1769 , NY, US",-74.1976871,40.559304
"76","NEW FIRST COOK RESTAURANT","stillwell ave 2305 , NY, US",-73.9835895,40.5910285
"77","LOS CATRACHOS","beach street 125127 , NY, US",-74.0084714,40.7206463
"78","FUKUROU","macdougal street 87 , NY, US",-74.0015073,40.7289445
"79","L'ISOLA RESTAURANT","metropolitan avenue 128 , NY, US",-73.9627964,40.7161683
"80","CORBET & CONLEY","e 23rd street 333 , NY, US",-73.9792143,40.7374827
"81","HARLEM SHAKE","west 124 street 100 , NY, US",-73.9463499,40.8071004
"82","NATIONAL DINER","westchester sq 135 , NY, US",-73.8420301,40.8406292
"83","FLOWER DRUM HOUSE","31 street 2105 , NY, US",-73.908464,40.777671
"84","LAMB NOODLE SOUP","main street 4128 , NY, US",-73.829437,40.757178
"85","KYO-YA","east    7 street 94 , NY, US",-73.9853909,40.7266249
"86","PS PIZZA SHOP","broadway 3202 , NY, US",-73.9579792,40.8159025
"87","CHUEN HING KITCHEN","101st ave 12618 , NY, US",-73.819231,40.691586
"88","PAULINE AND SHARON'S","4 avenue 597 , NY, US",-73.9930335,40.6649652
"89","900 PARK","morris park avenue 900 , NY, US",-73.8589721,40.8465415
"90","KENNEDY FRIED CHICKEN","lydig avenue 707 , NY, US",-73.8672606,40.8546228
"91","STARBUCKS","86 street 514 , NY, US",-73.9464402,40.7756311
"92","PHO TAY HO 86 VIETNAMESE RESTAURANT","86th street 2351 , NY, US",-73.9901191,40.600054
"93","MARIETTA","clifton place 4143 , NY, US",-73.957132,40.688463
"94","5IVE STEAK","john f. kennedy intl air 0 , NY, US",-74.0059413,40.7127837
"95","XHALE HOOKAH LOUNGE","austin st 7011 , NY, US",-73.8462833,40.7209368
"96","FRANKLIN HOTEL","east   87 street 164 , NY, US",-73.9545322,40.7797244
"97","KIMCHEE KOREAN RESTAURANT","3 avenue 9324 , NY, US",-73.9906154,40.7286292
"98","MUMBAI XPRESS","hillside avenue 25605 , NY, US",-73.7117931,40.7368114
"99","GREEK XPRESS","prospect park west 263 , NY, US",-73.9817069,40.6584407
"100","PEPOLINO","west broadway 281 , NY, US",-74.0048846,40.7207548
